marcSampleID	Sample_id	Block	Sample_name	AMF	Rhizobia	Species_name	Replicate	Pot	Person_harvest	Protocol	Type_sample	p1193R_bc	p799F_bc
Sample15	15	Block2	Sugarbeet_2	nonAMF	nonRhizo	Sugarbeet	2	Brown	Natacha	Arabidopsis	Root	R44	F67
Sample45	45	Block5	Sugarbeet_3	nonAMF	nonRhizo	Sugarbeet	3	Brown	Nina	Arabidopsis	Root	R48	F65
Sample59	59	Block6	Sugarbeet_4	nonAMF	nonRhizo	Sugarbeet	4	Brown	Natacha	Arabidopsis	Root	R45	F70
Sample80	80	Block8	Sugarbeet_5	nonAMF	nonRhizo	Sugarbeet	5	Brown	Nina	Arabidopsis	Root	R40	F61
Sample86	86	Block9	Sugarbeet_6	nonAMF	nonRhizo	Sugarbeet	6	Brown	Natacha	Arabidopsis	Root	R41	F62
Sample24	24	Block3	Tobacco_1	AMF	nonRhizo	Tobacco	1	Grey	Nina	Petunia	Root	R45	F63
Sample2	2	Block1	Tobacco_2	AMF	nonRhizo	Tobacco	2	Grey	Natacha	Petunia	Root	R41	F68
Sample33	33	Block4	Tobacco_3	AMF	nonRhizo	Tobacco	3	Grey	Nina	Petunia	Root	R40	F62
Sample39	39	Block4	Tobacco_4	AMF	nonRhizo	Tobacco	4	Grey	Natacha	Petunia	Root	R44	F60
Sample68	68	Block7	Tobacco_5	AMF	nonRhizo	Tobacco	5	Grey	Nina	Petunia	Root	R45	F62
Sample91	91	Block9	Tobacco_6	AMF	nonRhizo	Tobacco	6	Grey	Natacha	Petunia	Root	R41	F65
Sample25	25	Block3	Tomato_1	AMF	nonRhizo	Tomato	1	Grey	Nina	Petunia	Root	R40	F64
Sample27	27	Block3	Tomato_2	AMF	nonRhizo	Tomato	2	Grey	Natacha	Petunia	Root	R45	F69
Sample44	44	Block5	Tomato_3	AMF	nonRhizo	Tomato	3	Grey	Nina	Petunia	Root	R47	F66
Sample37	37	Block4	Tomato_4	AMF	nonRhizo	Tomato	4	Grey	Natacha	Petunia	Root	R47	F61
Sample77	77	Block8	Tomato_5	AMF	nonRhizo	Tomato	5	Grey	Nina	Petunia	Root	R47	F62
Sample76	76	Block8	Tomato_6	AMF	nonRhizo	Tomato	6	Grey	Natacha	Petunia	Root	R45	F68
Sample30	30	Block3	Trifolium_1	AMF	Rhizo	Trifolium	1	Brown	Nina	new	Root	R43	F69
Sample30lo	30	Block3	Trifolium_1_Lo	AMF	Rhizo	Trifolium	1	Brown	Nina	new	Left_over	R46	F66
Sample51	51	Block6	Trifolium_2	AMF	Rhizo	Trifolium	2	Brown	Nina	new	Root	R44	F62
Sample64	64	Block7	Trifolium_3	AMF	Rhizo	Trifolium	3	Grey	Natacha	Petunia	Root	R43	F63
Sample64lo	64	Block7	Trifolium_3_Lo	AMF	Rhizo	Trifolium	3	Brown	Nina	new	Left_over	R44	F70
Sample49	49	Block5	Trifolium_4	AMF	Rhizo	Trifolium	4	Brown	Natacha	new	Root	R44	F61
Sample49lo	49	Block4	Trifolium_4_Lo	AMF	Rhizo	Trifolium	4	Grey	Natacha	Petunia	Left_over	R47	F67
Sample65	65	Block7	Trifolium_5	AMF	Rhizo	Trifolium	5	Brown	Natacha	new	Root	R43	F60
Sample65lo	65	Block7	Trifolium_5_Lo	AMF	Rhizo	Trifolium	5	Brown	Natacha	new	Left_over	R44	F64
Sample1	1	Block1	Wheat_1	AMF	nonRhizo	Wheat	1	Grey	Nina	Petunia	Root	R40	F65
Sample21	21	Block3	Wheat_2	AMF	nonRhizo	Wheat	2	Grey	Natacha	Petunia	Root	R46	F61
Sample40	40	Block5	Wheat_3	AMF	nonRhizo	Wheat	3	Grey	Nina	Petunia	Root	R43	F68
Sample60	60	Block6	Wheat_4	AMF	nonRhizo	Wheat	4	Grey	Natacha	Petunia	Root	R44	F69
Sample74	74	Block8	Wheat_5	AMF	nonRhizo	Wheat	5	Grey	Nina	Petunia	Root	R41	F70
Sample67	67	Block7	Wheat_6	AMF	nonRhizo	Wheat	6	Grey	Natacha	Petunia	Root	R43	F62
SampleNod12	12	Block2	Lupin_1_Nod	nonAMF	Rhizo	Lupin	1	Grey	Nina	new	Nodule	R22	F52
SampleNod57	57	Block6	Lupin_2_Nod	nonAMF	Rhizo	Lupin	2	Grey	Natacha	new	Nodule	R23	F52
SampleNod81	81	Block8	Lupin_3_Nod	nonAMF	Rhizo	Lupin	3	Grey	Natacha	new	Nodule	R24	F52
SampleNod30	30	Block3	Trifolium_1_Nod	AMF	Rhizo	Trifolium	1	Brown	Nina	new	Nodule	R18	F51
SampleNod51	51	Block6	Trifolium_2_Nod	AMF	Rhizo	Trifolium	2	Brown	Nina	new	Nodule	R24	F51
SampleNod64	64	Block7	Trifolium_3_Nod	AMF	Rhizo	Trifolium	3	Brown	Nina	new	Nodule	R18	F52
SampleNod49	49	Block5	Trifolium_4_Nod	AMF	Rhizo	Trifolium	4	Brown	Natacha	new	Nodule	R23	F51
SampleNod65	65	Block7	Trifolium_5_Nod	AMF	Rhizo	Trifolium	5	Brown	Natacha	new	Nodule	R19	F52
SampleNod34	34	Block4	Alfalfa_3_Nod	AMF	Rhizo	Alfalfa	3	Brown	Nina	new	Nodule	R19	F51
SampleNod38	38	Block5	Pea_3_Nod	AMF	Rhizo	Pea	3	Grey	Nina	new	Nodule	R20	F51
SampleNod41	41	Block4	Pea_4_Nod	AMF	Rhizo	Pea	4	Grey	Natacha	new	Nodule	R21	F51
SampleNod82	82	Block9	Pea_5_Nod	AMF	Rhizo	Pea	5	Grey	Nina	new	Nodule	R21	F52
SampleNod47	47	Block5	Medicago_5_Nod	AMF	Rhizo	Medicago	5	Brown	Natacha	new	Nodule	R22	F51
SampleNod75	75	Block8	Lotus_3_Nod	AMF	Rhizo	Lotus	5	Brown	Nina	new	Nodule	R20	F52
SampleNod62	62	Block7	Lotus_5_Nod	AMF	Rhizo	Lotus	5	Brown	Natacha	new	Nodule	R25	F51
SampleBrown1	Brown1	unknown	brown1	NA	NA	soil	1	brown	NA	NA	soil	R22	F48
SampleBrown2	Brown2	unknown	brown2	NA	NA	soil	2	brown	NA	NA	soil	R23	F48
SampleBrown3	Brown3	unknown	brown3	NA	NA	soil	3	brown	NA	NA	soil	R24	F48
SampleBrown4	Brown4	unknown	brown4	NA	NA	soil	4	brown	NA	NA	soil	R25	F48
SampleBrown5	Brown5	unknown	brown5	NA	NA	soil	5	brown	NA	NA	soil	R27	F50
SampleBrown6	Brown6	unknown	brown6	NA	NA	soil	6	brown	NA	NA	soil	R27	F51
SampleEmpty1	Empty1	unknown	empty	NA	NA	empty	1	brown	NA	NA	empty	R25	F52
SampleEmpty2	Empty2	unknown	empty	NA	NA	empty	2	brown	NA	NA	empty	R27	F52
SampleGrey1	Grey1	unknown	grey1	NA	NA	soil	1	grey	NA	NA	soil	R18	F48
SampleGrey2	Grey2	unknown	grey2	NA	NA	soil	2	grey	NA	NA	soil	R19	F48
SampleGrey3	Grey3	unknown	grey3	NA	NA	soil	3	grey	NA	NA	soil	R20	F48
SampleGrey4	Grey4	unknown	grey4	NA	NA	soil	4	grey	NA	NA	soil	R21	F48
SampleGrey5	Grey5	unknown	grey5	NA	NA	soil	5	grey	NA	NA	soil	R27	F46
SampleGrey6	Grey6	unknown	grey6	NA	NA	soil	6	grey	NA	NA	soil	R27	F49
